Iteracja;0;1;2;3;4;5;6;7;Wyjazd 2;Wyjazd 3;Wyjazd 9;Wyjazd 12;Wyjazd 13;Suma pieszych;Suma pojazdow;
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
100;0;0;0;0;0;1;1;1;4;0;3;2;0;3;9;
200;1;4;0;0;6;3;0;5;6;1;3;2;4;19;16;
300;5;5;0;1;2;4;0;3;6;0;4;0;0;20;10;
400;7;12;1;4;8;14;1;10;4;3;2;1;1;57;11;
500;10;9;3;7;5;8;3;17;9;1;4;3;0;62;17;
600;12;11;3;1;3;15;3;8;5;1;2;2;3;56;13;
700;16;13;2;5;4;21;4;15;4;1;2;2;3;80;12;
800;11;9;1;7;7;11;3;11;6;1;1;3;5;60;16;
900;17;9;2;7;3;6;2;14;3;1;4;1;3;60;12;
1000;18;9;2;4;5;13;5;9;2;1;3;2;4;65;12;
1100;13;9;2;12;3;10;6;13;4;1;3;1;3;68;12;
1200;14;11;2;5;2;13;2;11;6;2;0;2;3;60;13;
1300;15;12;1;7;2;14;4;9;6;2;3;3;0;64;14;
1400;20;8;0;9;3;17;3;7;6;1;4;1;2;67;14;
1500;13;17;0;5;6;17;4;17;6;0;0;3;3;79;12;
1600;13;7;0;5;2;11;4;7;5;2;4;0;2;49;13;
1700;8;8;0;7;4;15;5;9;4;1;2;4;4;56;15;
1800;18;12;2;3;6;11;2;11;6;2;3;0;3;65;14;
1900;14;7;3;5;4;13;4;10;6;1;3;2;0;60;12;
2000;9;17;2;8;2;16;8;9;4;2;3;2;1;71;12;
2100;14;17;0;10;2;24;1;7;5;3;2;2;1;75;13;
2200;17;5;2;7;4;10;1;10;6;1;3;3;1;56;14;
2300;11;9;0;6;3;13;3;8;8;2;1;1;1;53;13;
2400;7;9;2;13;3;12;2;10;5;2;1;1;1;58;10;
2500;16;5;0;6;7;18;6;15;6;3;3;4;0;73;16;
2600;9;5;1;9;3;14;3;9;2;4;1;4;1;53;12;
2700;18;5;2;5;2;22;3;9;5;0;4;4;3;66;16;
2800;12;8;2;5;3;16;5;10;4;1;2;2;3;61;12;
2900;15;6;1;10;4;15;1;13;3;2;5;1;2;65;13;
3000;13;7;1;3;5;14;5;6;3;2;4;1;4;54;14;
3100;14;11;3;9;3;13;4;12;7;3;0;0;3;69;13;
3200;14;7;0;9;5;10;1;5;4;0;1;3;1;51;9;
3300;16;8;1;4;6;14;4;6;5;1;3;4;1;59;14;
3400;16;2;1;6;11;14;1;8;3;2;3;2;4;59;14;
3500;12;8;3;6;4;15;3;10;7;1;3;1;3;61;15;
3600;15;7;0;3;4;10;2;11;4;1;3;3;2;52;13;
3700;15;10;0;6;1;22;4;11;4;1;1;5;3;69;14;
3800;13;9;0;5;3;17;5;7;3;3;2;3;4;59;15;
3900;10;9;3;9;2;14;2;15;2;1;1;4;3;64;11;
4000;12;10;0;10;5;8;1;10;1;1;5;1;2;56;10;
4100;9;10;1;7;4;8;0;14;9;2;3;2;2;53;18;
4200;17;9;2;5;3;14;1;12;3;1;4;0;2;63;10;
4300;5;6;4;4;6;18;5;16;6;2;4;1;3;64;16;
4400;13;10;1;5;7;15;4;6;3;2;1;3;3;61;12;
4500;13;7;0;7;1;16;6;2;3;0;4;3;3;52;13;
4600;12;8;0;5;5;15;2;6;4;2;1;2;4;53;13;
4700;9;5;3;6;3;10;4;5;4;0;1;2;3;45;10;
4800;12;9;2;9;3;12;0;13;6;1;0;3;1;60;11;
4900;8;13;2;8;3;16;2;7;5;1;5;4;1;59;16;
5000;20;9;0;1;5;19;2;13;8;0;4;2;1;69;15;
5100;11;9;1;8;5;17;1;8;5;0;4;1;3;60;13;
5200;10;13;6;14;5;17;2;7;3;2;3;3;2;74;13;
5300;11;10;0;10;2;14;3;9;4;0;2;5;2;59;13;
5400;9;7;3;9;6;10;1;6;4;2;1;2;2;51;11;
5500;14;11;3;6;3;11;6;11;4;0;2;3;2;65;11;
5600;9;10;1;11;4;20;5;12;8;0;3;1;1;72;13;
5700;8;7;2;7;2;12;6;12;7;1;1;5;0;56;14;
5800;16;10;1;6;5;13;3;12;9;1;4;1;0;66;15;
5900;12;9;1;4;4;17;7;11;6;1;1;2;6;65;16;
